CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/26/2014,0:30,,,40.6806961,-74.0029655,"(40.6806961, -74.0029655)",,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,2976919,PASSENGER VEHICLE,LIVERY VEHICLE,,,
01/06/2013,12:17,,,,,,DITMARS STREET                  ,KING AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,89589,PICK-UP TRUCK,VAN,,,
06/26/2014,11:00,,,,,,,,PKG LOT OF 133-54 41 AVE.               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,358298,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/06/2013,14:28,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,2927232,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/29/2013,1:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2922034,PASSENGER VEHICLE,,,,
12/29/2013,20:45,,,,,,1 AVENUE                        ,EAST 28 STREET                  ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,25622,PASSENGER VEHICLE,TAXI,,,
06/26/2014,14:02,,,,,,,,PL OF 1801 SOUTH AVE                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,358937,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/29/2013,7:48,,,,,,,,ROOSEVELT ISLAND MAIN ST                ,0,0,0,0,0,0,0,0,Unspecified,,,,,278623,TAXI,,,,
02/02/2021,12:09,BRONX,10468,,,,WEST FORDHAM ROAD               ,EXTERIOR STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4388787,Taxi,,,,
01/06/2013,2:20,,,40.6671572,-73.7681285,"(40.6671572, -73.7681285)",,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,3096997,PASSENGER VEHICLE,,,,
11/22/2020,16:03,,,,,,PALMER AVENUE                   ,CRANFORD,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4369731,Sedan,Sedan,,,
01/06/2013,4:30,,,,,,109 AVENUE                      ,125 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,229518,PASSENGER VEHICLE,UNKNOWN,,,
12/28/2013,13:05,,,,,,BRAGG STREET                    ,SHORE PARKWAY                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,120793,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/06/2013,9:15,,,,,,,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,2879244,LARGE COM VEH(6 OR MORE TIRES),,,,
02/02/2021,5:40,,,,,,WHITESTONE EXPRESSWAY           ,,,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,,,,4388618,Sedan,Station Wagon/Sport Utility Vehicle,,,
01/05/2013,10:18,,,,,,,,17 SOUTH MARKET ST (BROOKLYN TERM. LOT) ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,145540,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2013,11:05,,,,,,WHITE PLAINS ROAD               ,WESTCHESTER AVENUE              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,82098,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
06/26/2014,21:17,,,,,,,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,2928020,PASSENGER VEHICLE,LIVERY VEHICLE,,,
12/28/2013,17:15,,,,,,FOREST HILL ROAD                ,ASHWORTH AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,,,,,292475,PASSENGER VEHICLE,,,,
02/01/2021,12:26,,,,,,148 street                      ,126 avenue,,0,0,0,0,0,0,0,0,Unspecified,,,,,4388633,Sedan,,,,
12/28/2013,18:28,,,,,,BROADWAY                        ,WEST 233 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,109181,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2013,14:50,,,,,,,,P/L OF 522 ARMSTRONG AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,295974,PASSENGER VEHICLE,PICK-UP TRUCK,,,
06/26/2014,23:00,,,40.8474611,-73.944234,"(40.8474611, -73.944234)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2873634,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2013,15:15,,,,,,,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Brakes Defective,,,,3023542,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2013,16:30,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2975975,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/28/2013,20:32,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,2927758,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/28/2013,21:20,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2913899,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2021,6:03,,,,,,TRIBOROUGH BRIDGE               ,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4389155,Sedan,Convertible,,,
06/26/2014,9:20,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Fatigued/Drowsy,,,,2874884,PASSENGER VEHICLE,PICK-UP TRUCK,,,
02/01/2021,9:00,MANHATTAN,10019,,,,12 AVENUE                       ,WEST 49 STREET,,0,0,0,0,0,0,0,0,Steering Failure,Pavement Slippery,,,,4388451,Sedan,Box Truck,,,
06/25/2014,0:35,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2988678,UNKNOWN,UNKNOWN,,,
06/25/2014,11:40,,,,,,,,P/L OF 4401 AMBOY ROAD                  ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,357804,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/25/2014,12:04,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,,,,,2851579,MOTORCYCLE,,,,
12/27/2013,11:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3065999,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2013,8:30,,,,,,LINDEN BOULEVARD                ,VAN SINDEREN AVENUE             ,,0,0,0,0,0,0,0,0,Unspecified,,,,,161114,SPORT UTILITY / STATION WAGON,,,,
06/25/2014,14:10,,,,,,UNION TURNPIKE                  ,141 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,358266,VAN,PASSENGER VEHICLE,,,
01/31/2021,19:45,BRONX,10460,,,,CROSS BRONX EXPRESSWAY          ,ROSEDALE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4388378,Sedan,,,,
01/31/2021,21:30,STATEN ISLAND,10309,40.523956,-74.21568,"(40.523956, -74.21568)",AMBOY ROAD                      ,BLOOMINGDALE ROAD,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4389820,Sedan,,,,
01/04/2013,12:41,,,,,,,,1524 RYDER STREET(DRIVEWAY)             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,127088,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/31/2021,5:35,,,,,,STATEN ISLAND EXPRESSWAY        ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4388611,Sedan,Sedan,,,
11/18/2020,6:50,,,,,,QUEENS MIDTOWN TUNNEL           ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4387436,Taxi,Motorcycle,,,
12/27/2013,16:00,,,,,,UNION AVENUE                    ,FOREST AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,292462,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/04/2013,15:10,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2833868,LIVERY VEHICLE,PASSENGER VEHICLE,,,
01/04/2013,16:15,,,40.7197624,-73.9447576,"(40.7197624, -73.9447576)",,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,Unspecified,,,2992125,OTHER,PASSENGER VEHICLE,OTHER,,
06/25/2014,17:30,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2934847,SPORT UTILITY / STATION WAGON,,,,
12/27/2013,17:30,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3046161,VAN,UNKNOWN,,,
12/27/2013,19:28,,,,,,FOREST HILL ROAD                ,RICHMOND HILL ROAD              ,,0,0,0,0,0,0,0,0,Unspecified,,,,,292461,PASSENGER VEHICLE,,,,
06/25/2014,18:00,,,,,,LAMBERTS LANE                   ,SELDIN AVENUE                   ,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,358396,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/30/2021,16:00,,,,,,CROSS BAY BOULEVARD             ,NORTH CHANNEL BRIDGE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4387806,Sedan,Sedan,,,
06/25/2014,19:05,,,40.7435346,-73.7738501,"(40.7435346, -73.7738501)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3035026,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/30/2021,18:13,,,,,,NEW ENGLAND THRUWAY             ,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4387816,Sedan,Sedan,,,
06/25/2014,21:00,,,,,,WHITE PLAINS ROAD               ,SAGAMORE STREET                 ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,358010,,,,,
04/17/2016,17:35,BROOKLYN,11201,,,,FLUSHING AVENUE                 ,NAVY STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3421195,4 dr sedan,,,,
12/27/2013,8:00,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3123047,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/25/2014,6:35,,,,,,,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Outside Car Distraction,,,,2889565,PICK-UP TRUCK,PICK-UP TRUCK,,,
12/26/2013,11:50,,,40.6814763,-73.7277536,"(40.6814763, -73.7277536)",,,,1,0,0,0,0,0,1,0,Steering Failure,,,,,3018066,PASSENGER VEHICLE,,,,
12/26/2013,13:30,,,,,,,,90-30 METROPOLITAN AVE PARKING LOT      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,267620,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/24/2014,0:25,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,357151,PASSENGER VEHICLE,OTHER,,,
01/03/2013,12:05,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2912814,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
01/03/2013,12:59,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2934198,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/29/2021,6:15,BRONX,10461,,,,,,350       MARCONI STREET                ,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4387543,Sedan,,,,
06/24/2014,12:58,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2879903,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/26/2013,17:00,,,,,,,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,2927755,VAN,SPORT UTILITY / STATION WAGON,,,
01/03/2013,13:38,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2864385,BUS,PICK-UP TRUCK,,,
12/26/2013,18:20,,,40.6977347,-73.8140794,"(40.6977347, -73.8140794)",,,,0,0,0,0,0,0,0,0,Backing Unsafely,Other Vehicular,,,,2998252,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/03/2013,15:18,,,,,,BEACH CHANNEL DRIVE             ,ROCKAWAY FREEWAY                ,,1,0,1,0,0,0,0,0,Unspecified,,,,,201390,PASSENGER VEHICLE,,,,
06/24/2014,15:00,,,40.730094,-73.8771267,"(40.730094, -73.8771267)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3066338,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
12/26/2013,19:35,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3090527,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/06/2020,4:20,,,40.69365,-73.98333,"(40.69365, -73.98333)",MYRTLE AVENUE                   ,,,1,0,1,0,0,0,0,0,,,,,,4344993,,,,,
06/24/2014,15:45,,,,,,,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,,2922120,UNKNOWN,VAN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
06/24/2014,16:20,,,,,,DIVISION AVENUE                 ,BEDFORD AVENUE                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,357601,PASSENGER VEHICLE,BICYCLE,,,
01/03/2013,17:08,,,,,,,,,0,0,0,0,0,0,0,0,Outside Car Distraction,,,,,3023539,PASSENGER VEHICLE,,,,
12/26/2013,5:42,,,,,,108 STREET                      ,37 AVENUE                       ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,283999,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,
01/03/2013,18:45,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2975968,OTHER,TAXI,,,
06/24/2014,17:35,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Other Vehicular,,,,2919457,OTHER,OTHER,,,
12/26/2013,8:30,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,2834161,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/25/2013,0:44,,,40.8141742,-73.9342975,"(40.8141742, -73.9342975)",,,,0,0,0,0,0,0,0,0,Failure to Keep Right,,,,,2865099,PASSENGER VEHICLE,,,,
12/25/2013,14:40,,,,,,BRADDOCK AVENUE                 ,CROSS ISLAND PARKWAY            ,,5,0,0,0,0,0,5,0,Unspecified,Unspecified,,,,226879,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/24/2014,20:20,,,,,,190 STREET                      ,HORACE HARDING EXPRESSWAY       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,357681,PASSENGER VEHICLE,UNKNOWN,,,
01/27/2021,12:47,,,,,,MACOMBS DAM BRIDGE              ,,,3,0,0,0,0,0,3,0,Failure to Keep Right,Driver Inattention/Distraction,,,,4388386,Ambulance,Sedan,,,
01/03/2013,7:54,,,40.7408389,-73.7865543,"(40.7408389, -73.7865543)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3033589,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/26/2020,3:00,,,,,,BROOKLYN QUEENS EXPRESSWAY RAMP ,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,,,,4342448,Station Wagon/Sport Utility Vehicle,,,,
01/27/2021,19:30,,,40.6674,-73.773636,"(40.6674, -73.773636)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4387210,Sedan,Sedan,,,
01/03/2013,9:00,MANHATTAN,10075,40.773642,-73.9598555,"(40.773642, -73.9598555)",EAST 77 STREET                  ,LEXINGTON AVENUE                ,,1,0,1,0,0,0,0,0,Unspecified,,,,,47061,UNKNOWN,,,,
01/27/2021,20:34,,,,,,MAJOR DEEGAN EXPRESSWAY         ,HUDSON PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,4387412,Sedan,,,,
12/25/2013,3:45,,,,,,EAST GUN HILL ROAD              ,FISH AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,99214,OTHER,OTHER,,,
01/02/2013,11:00,,,,,,,,PARKING LOT 61-69 SPRINGFIELD BLVD      ,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,260770,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/27/2021,7:50,,,,,,NEW ENGLAND THRUWAY             ,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4387197,Tractor Truck Diesel,Sedan,,,
01/02/2013,12:22,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2912763,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
01/02/2013,12:45,,,,,,PENNSYLVANIA AVENUE             ,FREEPORT LOOP                   ,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,165534,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/02/2013,14:06,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2918882,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
06/23/2014,10:20,,,40.7563684,-73.9601105,"(40.7563684, -73.9601105)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,356149,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
08/14/2015,10:56,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3277334,PASSENGER VEHICLE,PICK-UP TRUCK,,,
06/23/2014,12:50,,,,,,BEACH 77 STREET                 ,BEACH CHANNEL DRIVE             ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,356476,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/24/2013,14:15,,,,,,,,PARKING LOT OF 2268 BARTOW AVENUE       ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,91658,PASSENGER VEHICLE,UNKNOWN,,,
01/02/2013,17:00,,,,,,WINCHESTER BOULEVARD            ,92 AVENUE                       ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,221940,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/24/2013,15:50,,,,,,,,MUNICIPAL LOT 1                         ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,253772,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/02/2013,18:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2937778,PASSENGER VEHICLE,UNKNOWN,,,
06/23/2014,14:15,,,40.6187344,-74.1760525,"(40.6187344, -74.1760525)",,,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,356653,OTHER,PASSENGER VEHICLE,,,
12/24/2013,16:00,,,,,,,,2114 EAST 63 STREET(DRIVEWAY)           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,129236,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/23/2014,14:55,,,,,,,,PARKING LOT OF 5835 AMBOY ROAD          ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,356652,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/24/2013,16:40,,,40.6101467,-74.1512571,"(40.6101467, -74.1512571)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3108075,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/25/2021,0:05,MANHATTAN,10016,,,,,,435       EAST 26 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4387355,Pick-up Truck,AMBULANCE,,,
12/24/2013,17:45,,,,,,DONGAN AVENUE                   ,BROADWAY                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,258834,PASSENGER VEHICLE,UNKNOWN,,,
01/02/2013,21:40,,,,,,CATON AVENUE                    ,EAST 8 STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,131385,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,UNKNOWN,
01/25/2021,14:20,,,40.877033,-73.846375,"(40.877033, -73.846375)",BOSTON ROAD                     ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4387344,Sedan,Sedan,,,
12/24/2013,18:43,,,,,,,,PL OF 2975 RICHMOND AVE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,292435,PASSENGER VEHICLE,UNKNOWN,,,
06/23/2014,16:50,,,,,,,,2155 EAST 73 STREET(SIDEWALK)           ,1,0,1,0,0,0,0,0,Passenger Distraction,,,,,357475,PASSENGER VEHICLE,,,,
01/02/2013,6:30,,,40.7336872,-73.92395,"(40.7336872, -73.92395)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3045085,PASSENGER VEHICLE,OTHER,,,
06/23/2014,17:10,,,40.8306087,-73.9350156,"(40.8306087, -73.9350156)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2867914,,,,,
06/23/2014,18:00,,,40.6082248,-74.1293966,"(40.6082248, -74.1293966)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3108361,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,,,
01/02/2013,8:35,,,,,,,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3065267,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/02/2013,9:25,,,40.6835475,-74.0017543,"(40.6835475, -74.0017543)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2975964,PASSENGER VEHICLE,UNKNOWN,,,
06/23/2014,19:00,,,,,,FAHY AVENUE                     ,LONGDALE STREET                 ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,357239,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/24/2013,6:20,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3065977,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/24/2013,6:15,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,,,,,2834158,TAXI,,,,
01/01/2013,13:39,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3045084,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
06/23/2014,2:41,BRONX,10457,40.8549066,-73.8964417,"(40.8549066, -73.8964417)",WEBSTER AVENUE                  ,EAST 182 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,,,,,356303,OTHER,,,,
12/23/2013,0:34,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2865102,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/23/2014,7:55,,,,,,BEDELL STREET                   ,FARMERS BOULEVARD               ,,1,0,1,0,0,0,0,0,Glare,,,,,356595,SPORT UTILITY / STATION WAGON,,,,
06/23/2014,8:25,,,,,,BEACH 77 STREET                 ,BEACH CHANNEL DRIVE             ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,356475,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/26/2020,12:08,,,,,,NEW ENGLAND THRUWAY             ,,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,4342076,Motorcycle,Sedan,,,
01/01/2013,19:00,,,40.7342964,-73.9745391,"(40.7342964, -73.9745391)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2839219,SPORT UTILITY / STATION WAGON,,,,
01/01/2013,1:55,,,,,,BROADWAY                        ,KOSCIUSKO STREET                ,,1,0,1,0,0,0,0,0,Unspecified,,,,,185390,PASSENGER VEHICLE,,,,
06/23/2014,9:05,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2865407,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/23/2013,12:40,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2934615,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/24/2021,2:49,,,40.710682,-73.98471,"(40.710682, -73.98471)",SOUTH STREET                    ,,,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,4386149,Sedan,,,,
01/01/2013,2:40,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2867779,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/24/2021,8:50,,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4386373,Sedan,Sedan,,,
06/22/2014,0:45,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2849621,PASSENGER VEHICLE,,,,
06/22/2014,11:50,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3057221,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/22/2014,13:08,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3057219,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/23/2021,14:45,MANHATTAN,10036,,,,WEST 42 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Following Too Closely,,,,4386868,Sedan,Sedan,,,
12/23/2013,15:50,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3090523,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/23/2013,16:40,,,,,,SHORE PARKWAY                   ,CROSS BAY BOULEVARD             ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,232474,PASSENGER VEHICLE,UNKNOWN,,,
06/22/2014,15:30,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2879902,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
06/22/2014,16:46,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2865406,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/23/2013,17:45,,,,,,NORTHERN BOULEVARD              ,48 STREET                       ,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,278545,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2012,11:30,,,40.7089689,-73.956722,"(40.7089689, -73.956722)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2988210,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
12/23/2013,18:00,,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,2913887,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
