,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,6 Ave & Broome St,40.72430832160217,-74.00473035871983,W 13 St & 7 Ave,40.73781509,-73.99994661
1,Columbus Ave & W 95 St,40.7919557,-73.968087,W 89 St & Columbus Ave,40.7882213,-73.97041561
2,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,E 25 St & 1 Ave,40.7381765,-73.97738662
3,W 11 St & 6 Ave,40.73532427,-73.99800419,W 41 St & 8 Ave,40.75640548,-73.9900262
4,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,E 25 St & 1 Ave,40.7381765,-73.97738662
5,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,E 25 St & 1 Ave,40.7381765,-73.97738662
6,W 34 St & 11 Ave,40.75594159,-74.0021163,W 41 St & 8 Ave,40.75640548,-73.9900262
7,Steinway St & 28 Ave,40.7656251,-73.9136695,Crescent St & Broadway,40.7633589,-73.92864709999999
8,10 St & 7 Ave,40.666207799999995,-73.98199886,14 St & 7 Ave,40.663779,-73.98396846
9,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,South St & Whitehall St,40.70122128,-74.01234218
10,E 15 St & 3 Ave,40.734232,-73.986923,E 19 St & 3 Ave,40.73624527,-73.98473765
11,Graham Ave & Conselyea St,40.715143,-73.944507,Graham Ave & Herbert St,40.71929301,-73.94500379
12,1 Ave & E 16 St,40.73221853,-73.98165557,E 20 St & FDR Drive,40.73314259,-73.97573881
13,W 13 St & 7 Ave,40.73781509,-73.99994661,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
14,Graham Ave & Grand St,40.711863,-73.944024,Hope St & Union Ave,40.71167351,-73.95141312
15,W 45 St & 8 Ave,40.75929124,-73.98859651,W 55 St & 6 Ave,40.763189000000004,-73.978434
16,Bank St & Washington St,40.7361967,-74.00859207,E 39 St & 2 Ave,40.74780373,-73.97344190000001
17,Broadway & W 49 St,40.76068327096592,-73.98452728986742,E 10 St & Avenue A,40.72740794,-73.98142006
18,W 20 St & 11 Ave,40.746745000000004,-74.007756,10 Ave & W 28 St,40.75066386,-74.00176802
19,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,Sullivan St & Washington Sq,40.73047747,-73.99906065
20,Pike St & Monroe St,40.71173107,-73.99193043,E 27 St & 1 Ave,40.739445,-73.97680600000001
21,8 Ave & W 33 St,40.751551,-73.993934,E 15 St & 3 Ave,40.734232,-73.986923
22,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,Bond St & Fulton St,40.68962188790333,-73.98304268717766
