,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,Central Park S & 6 Ave,40.76590936,-73.97634151,Central Park S & 6 Ave,40.76590936,-73.97634151
1,W 11 St & 6 Ave,40.73532427,-73.99800419,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
2,University Pl & E 8 St,40.73143724085228,-73.99490341544151,University Pl & E 8 St,40.73143724085228,-73.99490341544151
3,E 33 St & 5 Ave,40.74765947,-73.98490707,5 Ave & E 29 St,40.7451677,-73.98683077
4,E 20 St & 2 Ave,40.73587678,-73.98205027,1 Ave & E 16 St,40.73221853,-73.98165557
5,Central Park W & W 96 St,40.791270000000004,-73.964839,5 Ave & E 103 St,40.792255299999994,-73.95249933
6,1 Ave & E 68 St,40.76500525,-73.95818491,E 74 St & 1 Ave,40.7689738,-73.95482273
7,W 41 St & 8 Ave,40.75640548,-73.9900262,E 20 St & 2 Ave,40.73587678,-73.98205027
8,Lenox Ave & W 111 St,40.7987859,-73.9523,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
9,Monroe St & Bedford Ave,40.6851443,-73.95380904,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
10,W 21 St & 6 Ave,40.74173969,-73.99415556,Broadway & W 49 St,40.76068327096592,-73.98452728986742
11,W 41 St & 8 Ave,40.75640548,-73.9900262,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727
12,E 6 St & Avenue B,40.72453734,-73.98185424,E 13 St & Avenue A,40.72966729392978,-73.98067966103555
13,E 11 St & Avenue B,40.727464206923926,-73.97950418293476,W 13 St & 5 Ave,40.735445,-73.99431
14,E 10 St & 5 Ave,40.73331967,-73.99510132,E 11 St & Broadway,40.73261787,-73.99158043
15,Clark St & Henry St,40.69760127,-73.99344559,Clark St & Henry St,40.69760127,-73.99344559
16,Lexington Ave & E 26 St,40.741459000000006,-73.983293,W 31 St & 7 Ave,40.749156,-73.9916
17,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,MacDougal St & Washington Sq,40.73226398,-73.99852205
18,31 St & 23 Ave,40.7747878,-73.91255509999999,37 St & 24 Ave,40.7701477,-73.9120938
19,E 30 St & Park Ave S,40.74444921,-73.98303529,W 4 St & 7 Ave S,40.73401143,-74.00293877
20,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Richardson St & N Henry St,40.71907891179564,-73.94223690032959
21,MacDougal St & Prince St,40.72710258,-74.00297088,Sullivan St & Washington Sq,40.73047747,-73.99906065
22,Lexington Ave & E 26 St,40.741459000000006,-73.983293,E 4 St & 2 Ave,40.726280700000004,-73.98978041
23,12 St & 4 Ave,40.668603000000004,-73.99043940000001,Kane St & Clinton St,40.686175799999994,-73.99645295
