,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,Avenue C & E 18 St,40.730563000000004,-73.973984,1 Ave & E 16 St,40.73221853,-73.98165557
1,Degraw St & Smith St,40.6829151,-73.99318208,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
2,Central Park West & W 85 St,40.78472675,-73.96961715,W 54 St & 9 Ave,40.76584941,-73.98690506
3,E 98 St & Park Ave,40.788129999999995,-73.95206,Central Park West & W 76 St,40.77896784,-73.97374737
4,Broadway & W 29 St,40.7462009,-73.98855723,11 Ave & W 41 St,40.76030096,-73.99884222
5,Suydam St & Knickerbocker Ave,40.702013,-73.923769,McKibbin St & Bogart St,40.706237,-73.933871
6,Suydam St & Knickerbocker Ave,40.702013,-73.923769,McKibbin St & Bogart St,40.706237,-73.933871
7,Centre St & Chambers St,40.71273266,-74.0046073,Fulton St & Adams St,40.692418292578466,-73.98949474096298
8,E 45 St & 3 Ave,40.75255434,-73.97282625,6 Ave & W 33 St,40.74901271,-73.98848395
9,Boerum St & Broadway,40.70538077,-73.94976519,Hope St & Union Ave,40.71167351,-73.95141312
10,Central Park W & W 96 St,40.791270000000004,-73.964839,W 33 St & 7 Ave,40.75019995,-73.99093085
11,W 21 St & 6 Ave,40.74173969,-73.99415556,Broadway & W 49 St,40.76068327096592,-73.98452728986742
12,31 St & 23 Ave,40.7747878,-73.91255509999999,31 St & Hoyt Ave N,40.771152799999996,-73.9170074
13,Graham Ave & Herbert St,40.71929301,-73.94500379,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583
14,Centre St & Chambers St,40.71273266,-74.0046073,Fulton St & Adams St,40.692418292578466,-73.98949474096298
15,31 St & 23 Ave,40.7747878,-73.91255509999999,24 Ave & 26 St,40.774591,-73.918544
16,Court St & State St,40.6902375,-73.99203074,Union St & Nevins St,40.67909799721684,-73.98765474557877
17,Grand St & Havemeyer St,40.71286844,-73.95698119,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583
18,Park Pl & Church St,40.71334184275907,-74.00935515761375,Christopher St & Greenwich St,40.73291553,-74.00711384
19,Central Park West & W 85 St,40.78472675,-73.96961715,W 54 St & 9 Ave,40.76584941,-73.98690506
20,9 St & 44 Rd,40.74966,-73.9521,27 St & Hunter St,40.7485,-73.941275
21,W 52 St & 11 Ave,40.76727216,-73.99392888,W 56 St & 10 Ave,40.768254,-73.988639
22,9 Ave & W 45 St,40.76019252,-73.9912551,W 95 St & Broadway,40.7937704,-73.971888
23,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,E 91 St & 2 Ave,40.781122299341654,-73.94965589046478
24,31 St & 23 Ave,40.7747878,-73.91255509999999,Ditmars Blvd & 19 St,40.78145,-73.9183302
25,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,E 47 St & 2 Ave,40.75323098,-73.97032517
26,Pike St & Monroe St,40.71173107,-73.99193043,E 11 St & Avenue B,40.727464206923926,-73.97950418293476
27,6 Ave & 9 St,40.668127,-73.98377641,3 St & 7 Ave,40.67038370000001,-73.97839676
28,Central Park W & W 96 St,40.791270000000004,-73.964839,W 33 St & 7 Ave,40.75019995,-73.99093085
29,3 Ave & E 72 St,40.7699426,-73.96060712,E 97 St & Madison Ave,40.787801,-73.953559
30,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
31,Allen St & Stanton St,40.722055,-73.989111,Lexington Ave & E 26 St,40.741459000000006,-73.983293
32,31 St & Broadway,40.761584,-73.925921,31 Ave & Crescent St,40.765834600000005,-73.9265474
33,W 52 St & 5 Ave,40.75992262,-73.97648516,W 33 St & 7 Ave,40.75019995,-73.99093085
34,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
35,Allen St & Stanton St,40.722055,-73.989111,Lexington Ave & E 26 St,40.741459000000006,-73.983293
36,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,Hope St & Union Ave,40.71167351,-73.95141312
37,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,W 89 St & Columbus Ave,40.7882213,-73.97041561
38,Canal St & Rutgers St,40.71427487,-73.98990025,Liberty St & Broadway,40.70905623,-74.01043382
39,Avenue D & E 3 St,40.72082834,-73.97793172,E 13 St & Avenue A,40.72966729392978,-73.98067966103555
40,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,E 88 St & 1 Ave,40.778301,-73.9488134
41,George St & Wilson Ave,40.702996999999996,-73.92997,Broadway & Berry St,40.71044554,-73.96525063
42,W 106 St & Amsterdam Ave,40.80083629999999,-73.9664492472,Broadway & W 56 St,40.7652654,-73.98192338
43,Central Park W & W 96 St,40.791270000000004,-73.964839,E 97 St & Madison Ave,40.787801,-73.953559
44,21 St & 31 Dr,40.7659,-73.930819,36 Ave & 10 St,40.7614376,-73.9411265
45,Allen St & Stanton St,40.722055,-73.989111,Lexington Ave & E 26 St,40.741459000000006,-73.983293
46,W 74 St & Columbus Ave,40.7785669,-73.97754961,E 106 St & Madison Ave,40.79343370000001,-73.94945003
47,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423
48,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,7 Ave & Park Pl,40.67761470000001,-73.97324283
49,Howard St & Centre St,40.71910537,-73.99973337,Broadway & E 14 St,40.73454567,-73.99074142
50,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,Lenox Ave & W 115 St,40.8011939,-73.9500739
51,14 St & 5 Ave,40.666287,-73.98895053,Prospect Pl & 6 Ave,40.6793307,-73.97519523
52,Columbus Ave & W 72 St,40.7770575,-73.97898475,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842
53,E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,E 55 St & 2 Ave,40.75797322,-73.96603308
54,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423
55,Columbus Ave & W 72 St,40.7770575,-73.97898475,8 Ave & W 52 St,40.76370739,-73.9851615
56,Watts St & Greenwich St,40.72405549,-74.00965965,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
57,Carmine St & 6 Ave,40.73038599,-74.00214988,West End Ave & W 94 St,40.7941654,-73.974124
58,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,W 20 St & 8 Ave,40.74345335,-74.00004031
59,Columbus Ave & W 72 St,40.7770575,-73.97898475,8 Ave & W 52 St,40.76370739,-73.9851615
60,E 81 St & York Ave,40.7728384,-73.94989233,31 Ave & 34 St,40.763154,-73.920827
61,Carmine St & 6 Ave,40.73038599,-74.00214988,West End Ave & W 94 St,40.7941654,-73.974124
62,Forsyth St & Canal St,40.715815500000005,-73.99422366,Suffolk St & Stanton St,40.72066442,-73.98517977
63,W 4 St & 7 Ave S,40.73401143,-74.00293877,West St & Chambers St,40.71754834,-74.01322069
64,E 6 St & Avenue B,40.72453734,-73.98185424,Broadway & E 14 St,40.73454567,-73.99074142
65,Central Park W & W 96 St,40.791270000000004,-73.964839,Broadway & W 56 St,40.7652654,-73.98192338
66,Bank St & Washington St,40.7361967,-74.00859207,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554
67,Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063,W 56 St & 10 Ave,40.768254,-73.988639
68,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,6 Ave & W 33 St,40.74901271,-73.98848395
69,W 34 St & 11 Ave,40.75594159,-74.0021163,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915
70,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,W 33 St & 7 Ave,40.75019995,-73.99093085
71,W 18 St & 6 Ave,40.73971301,-73.99456405,E 16 St & 5 Ave,40.73726186,-73.99238967
72,W 4 St & 7 Ave S,40.73401143,-74.00293877,E 10 St & Avenue A,40.72740794,-73.98142006
73,Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,Classon Ave & St Marks Ave,40.676519799999994,-73.9596082
74,E 39 St & 2 Ave,40.74780373,-73.97344190000001,E 25 St & 2 Ave,40.73912601,-73.97973776
75,Lexington Ave & E 63 St,40.76440023,-73.96648977,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069
76,W 4 St & 7 Ave S,40.73401143,-74.00293877,E 10 St & Avenue A,40.72740794,-73.98142006
77,E 118 St & 3 Ave,40.799139000000004,-73.9389152,Pleasant Ave & E 120 St,40.7974772,-73.9311847
78,W 11 St & 6 Ave,40.73532427,-73.99800419,W 11 St & 6 Ave,40.73532427,-73.99800419
79,Lewis Ave & Madison St,40.686312,-73.935775,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
80,W 4 St & 7 Ave S,40.73401143,-74.00293877,E 10 St & Avenue A,40.72740794,-73.98142006
81,Broadway & W 41 St,40.75513557,-73.98658032,Mott St & Prince St,40.72317958,-73.99480012
