,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,Fulton St & Broadway,40.711065999999995,-74.009447,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001
1,E 4 St & 2 Ave,40.726280700000004,-73.98978041,E 2 St & Avenue C,40.720873600000004,-73.98085795
2,E 33 St & 5 Ave,40.74765947,-73.98490707,6 Ave & Spring St,40.7252556952547,-74.00412082672119
3,6 Ave & Spring St,40.7252556952547,-74.00412082672119,Bayard St & Baxter St,40.71602118,-73.99974372
4,W 31 St & 7 Ave,40.749156,-73.9916,W 16 St & The High Line,40.74334935,-74.00681753
5,Bond St & Fulton St,40.68962188790333,-73.98304268717766,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
6,6 Ave & Canal St,40.72243797,-74.00566443,Norfolk St & Broome St,40.7172274,-73.98802084
7,Grand St & Greene St,40.72165481,-74.00234737,Fulton St & William St,40.70955958,-74.00653609
8,Hope St & Union Ave,40.71167351,-73.95141312,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394
9,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,Vesey Pl & River Terrace,40.715337899999994,-74.01658354
10,Broadway & W 49 St,40.76068327096592,-73.98452728986742,W 11 St & 6 Ave,40.73532427,-73.99800419
11,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,3 St & Prospect Park West,40.668132,-73.97363831
12,Dean St & 4 Ave,40.68312489,-73.97895137,Berkeley Pl & 6 Ave,40.6765304,-73.97846879
13,Grand St & Elizabeth St,40.718821999999996,-73.99596,Degraw St & Hoyt St,40.68199044270703,-73.99079024791719
14,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,South St & Whitehall St,40.70122128,-74.01234218
15,Clinton St & Grand St,40.71559509,-73.9870295,S 4 St & Rodney St,40.709340000000005,-73.95608
16,Bank St & Hudson St,40.73652889,-74.00618026,W 16 St & 8 Ave,40.74102150900266,-74.001384973526
17,E 6 St & Avenue B,40.72453734,-73.98185424,Grand St & Elizabeth St,40.718821999999996,-73.99596
18,W 20 St & 7 Ave,40.74238787,-73.99726235,Graham Ave & Conselyea St,40.715143,-73.944507
19,E 20 St & FDR Drive,40.73314259,-73.97573881,E 6 St & Avenue B,40.72453734,-73.98185424
20,Madison St & Montgomery St,40.713126,-73.984844,Clinton St & Grand St,40.71559509,-73.9870295
21,3 Ave & E 100 St,40.787721399999995,-73.94728331,E 81 St & 2 Ave,40.77477944895728,-73.95427465438844
22,E 11 St & 2 Ave,40.73047309,-73.98672378,E 25 St & 2 Ave,40.73912601,-73.97973776
23,E 4 St & 2 Ave,40.726280700000004,-73.98978041,6 Ave & Spring St,40.7252556952547,-74.00412082672119
24,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Greenwich Ave & Charles St,40.735238,-74.000271
25,E 6 St & Avenue B,40.72453734,-73.98185424,E 13 St & Avenue A,40.72966729392978,-73.98067966103555
26,E 11 St & 2 Ave,40.73047309,-73.98672378,E 25 St & 2 Ave,40.73912601,-73.97973776
27,E 51 St & 1 Ave,40.75455731,-73.96592976,E 89 St & York Ave,40.7779453,-73.94604100000001
28,W 26 St & 10 Ave,40.749717753,-74.002950346,E 32 St & Park Ave,40.745712100000006,-73.98194829
29,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,E 25 St & 2 Ave,40.73912601,-73.97973776
30,E 91 St & Park Ave,40.7835016,-73.955327,E 91 St & 2 Ave,40.781122299341654,-73.94965589046478
31,Allen St & Rivington St,40.72019576,-73.98997825,Allen St & Stanton St,40.722055,-73.989111
32,E 4 St & 2 Ave,40.726280700000004,-73.98978041,W 21 St & 6 Ave,40.74173969,-73.99415556
33,E 9 St & Avenue C,40.72521311,-73.97768752,E 13 St & Avenue A,40.72966729392978,-73.98067966103555
34,Lexington Ave & E 63 St,40.76440023,-73.96648977,E 78 St & 2 Ave,40.7727966,-73.95577801
35,W 95 St & Broadway,40.7937704,-73.971888,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659
36,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,Rivington St & Ridge St,40.71850211,-73.98329859
37,5 Ave & E 88 St,40.78307,-73.95939,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
38,W 21 St & 6 Ave,40.74173969,-73.99415556,E 20 St & 2 Ave,40.73587678,-73.98205027
39,W 45 St & 8 Ave,40.75929124,-73.98859651,S 5 Pl & S 5 St,40.710451,-73.960876
40,E 32 St & Park Ave,40.745712100000006,-73.98194829,Broadway & E 14 St,40.73454567,-73.99074142
41,E 5 St & Avenue C,40.72299208,-73.97995466,E 5 St & Avenue C,40.72299208,-73.97995466
42,Clinton Ave & Myrtle Ave,40.693261,-73.968896,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
43,W 16 St & 8 Ave,40.74102150900266,-74.001384973526,W 38 St & 8 Ave,40.75466591,-73.99138152
44,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
45,5 Ave & E 63 St,40.766368,-73.971518,Lenox Ave & W 111 St,40.7987859,-73.9523
46,Washington St & Gansevoort St,40.739323,-74.008119,Stanton St & Chrystie St,40.72229346,-73.99147535
47,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
48,MacDougal St & Prince St,40.72710258,-74.00297088,Division St & Bowery,40.71413089,-73.99704679999999
49,Washington Pl & Broadway,40.72903917,-73.99404649,E 2 St & Avenue C,40.720873600000004,-73.98085795
50,E 10 St & 5 Ave,40.73331967,-73.99510132,E 11 St & 2 Ave,40.73047309,-73.98672378
51,5 Ave & E 73 St,40.77282817,-73.96685276,Central Park West & W 72 St,40.77579376683666,-73.97620573639871
52,E 25 St & 2 Ave,40.73912601,-73.97973776,E 24 St & Park Ave S,40.74096374,-73.98602213
53,Howard St & Centre St,40.71910537,-73.99973337,St James Pl & Pearl St,40.71117416,-74.00016545
54,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,W 38 St & 8 Ave,40.75466591,-73.99138152
55,Washington Pl & 6 Ave,40.73224119,-74.00026394,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
56,W 53 St & 10 Ave,40.76669671,-73.99061728,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
57,Grand St & Elizabeth St,40.718821999999996,-73.99596,Washington Pl & 6 Ave,40.73224119,-74.00026394
58,Columbia St & Rivington St,40.71739973,-73.98016555,Rivington St & Ridge St,40.71850211,-73.98329859
59,E 4 St & 2 Ave,40.726280700000004,-73.98978041,E 2 St & Avenue B,40.72217444,-73.98368779
60,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,N 6 St & Bedford Ave,40.71745169,-73.95850939
61,Prospect Pl & 6 Ave,40.6793307,-73.97519523,Dean St & Franklin Ave,40.67759206937376,-73.95563721656801
62,Smith St & 9 St,40.67469570000001,-73.99785768,Wolcott St & Dwight St,40.6753274,-74.0100698
63,Forsyth St & Broome St,40.71893904,-73.99266288,Richardson St & N Henry St,40.71907891179564,-73.94223690032959
64,6 Ave & W 33 St,40.74901271,-73.98848395,Broadway & E 14 St,40.73454567,-73.99074142
65,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,Grand Ave & Bergen St,40.678045000000004,-73.962408
66,Crescent St & Broadway,40.7633589,-73.92864709999999,31 St & 23 Ave,40.7747878,-73.91255509999999
67,W 49 St & 8 Ave,40.76227205,-73.98788205,W 45 St & 8 Ave,40.75929124,-73.98859651
68,W 45 St & 8 Ave,40.75929124,-73.98859651,11 Ave & W 41 St,40.76030096,-73.99884222
69,Stanton St & Chrystie St,40.72229346,-73.99147535,E 2 St & Avenue C,40.720873600000004,-73.98085795
70,Cathedral Pkwy & Broadway,40.804213,-73.96699104,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999
71,St Marks Pl & 1 Ave,40.72779126,-73.98564945,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
72,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937
73,Lispenard St & Broadway,40.71939226,-74.00247214,W 31 St & 7 Ave,40.749156,-73.9916
74,MacDougal St & Washington Sq,40.73226398,-73.99852205,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
75,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001
76,Pershing Square North,40.751872999999996,-73.97770600000001,W 33 St & 7 Ave,40.75019995,-73.99093085
77,Pershing Square South,40.751581,-73.97791,W 20 St & 7 Ave,40.74238787,-73.99726235
78,W 84 St & Columbus Ave,40.78499979,-73.97283406,Central Park West & W 102 St,40.795346,-73.96186
79,3 Ave & E 100 St,40.787721399999995,-73.94728331,E 97 St & 3 Ave,40.7859201,-73.94860294
80,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,E 5 St & Avenue C,40.72299208,-73.97995466
81,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,S 4 St & Rodney St,40.709340000000005,-73.95608
82,11 Ave & W 41 St,40.76030096,-73.99884222,Pershing Square North,40.751872999999996,-73.97770600000001
83,N 6 St & Bedford Ave,40.71745169,-73.95850939,Bayard St & Leonard St,40.71915571696044,-73.94885390996933
84,Allen St & Hester St,40.71605866,-73.99190759,Canal St & Rutgers St,40.71427487,-73.98990025
85,Hudson St & Reade St,40.71625008,-74.0091059,West Thames St,40.70834698,-74.01713445
86,Degraw St & Smith St,40.6829151,-73.99318208,Clinton St & Union St,40.683116399999996,-73.99785267
87,Halsey St & Tompkins Ave,40.682368700000005,-73.944118,Hancock St & Bedford Ave,40.68216564,-73.95399026
88,Broadway & E 14 St,40.73454567,-73.99074142,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016
89,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882
90,E 4 St & 2 Ave,40.726280700000004,-73.98978041,W 20 St & 8 Ave,40.74345335,-74.00004031
91,Cadman Plaza West & Montague St,40.69383,-73.990539,Henry St & Atlantic Ave,40.69089272,-73.99612349
92,Broadway & W 41 St,40.75513557,-73.98658032,Rivington St & Ridge St,40.71850211,-73.98329859
93,W 11 St & 6 Ave,40.73532427,-73.99800419,W 12 St & W 4 St,40.73756121181137,-74.00398269295692
94,Rivington St & Ridge St,40.71850211,-73.98329859,Rivington St & Ridge St,40.71850211,-73.98329859
