,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,8 Ave & W 52 St,40.76370739,-73.9851615,W 54 St & 9 Ave,40.76584941,-73.98690506
1,W 27 St & 10 Ave,40.750181563256824,-74.00218427181244,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
2,N 6 St & Bedford Ave,40.71745169,-73.95850939,Van Brunt St & Van Dyke St,40.675832943912894,-74.01472628116608
3,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,Pacific St & Nevins St,40.6853761,-73.98302136
4,W 26 St & 10 Ave,40.749717753,-74.002950346,W 26 St & 8 Ave,40.74734825,-73.99723551
5,State St & Smith St,40.68926942,-73.98912867,12 St & 4 Ave,40.668603000000004,-73.99043940000001
6,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Sullivan St & Washington Sq,40.73047747,-73.99906065
7,W 4 St & 7 Ave S,40.73401143,-74.00293877,E 4 St & 2 Ave,40.726280700000004,-73.98978041
8,Berry St & N 8 St,40.7190095,-73.95852515,Banker St & Meserole Ave,40.72606,-73.95621
9,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,Lenox Ave & W 117 St,40.8025566,-73.9490782
10,Bond St & Fulton St,40.68962188790333,-73.98304268717766,Bond St & Bergen St,40.6849668,-73.98620772
11,6 Ave & W 33 St,40.74901271,-73.98848395,E 12 St & 3 Ave,40.73223272,-73.98889957
12,Fulton St & Rockwell Pl,40.68841,-73.979458,Fulton St & Clermont Ave,40.68415748,-73.96922273
13,E 11 St & 2 Ave,40.73047309,-73.98672378,E 7 St & Avenue A,40.72621788,-73.98379855
14,E 39 St & 3 Ave,40.7489006,-73.97604882,1 Ave & E 18 St,40.73381219196632,-73.9805442094803
15,Bank St & Washington St,40.7361967,-74.00859207,W 22 St & 8 Ave,40.74475148,-73.99915362
16,Jackson St & Leonard St,40.716380319735606,-73.94821286201476,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583
17,Douglass St & 3 Ave,40.6802133,-73.98432695,Duffield St & Willoughby St,40.69221589,-73.9842844
18,Underhill Ave & Lincoln Pl,40.674012299999994,-73.9671457,Eastern Pkwy & Franklin Ave,40.670776700000005,-73.9576801
19,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,South St & Whitehall St,40.70122128,-74.01234218
20,Bank St & Hudson St,40.73652889,-74.00618026,W 18 St & 6 Ave,40.73971301,-73.99456405
21,W 95 St & Broadway,40.7937704,-73.971888,W 116 St & Broadway,40.8082,-73.9641
22,W 37 St & 10 Ave,40.75660359,-73.9979009,W 37 St & 5 Ave,40.75038009,-73.98338988
23,S 4 St & Wythe Ave,40.71285887,-73.96590294,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
24,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,Grand St & Elizabeth St,40.718821999999996,-73.99596
25,E 39 St & 2 Ave,40.74780373,-73.97344190000001,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845
26,W 31 St & 7 Ave,40.749156,-73.9916,Bank St & Hudson St,40.73652889,-74.00618026
27,W 41 St & 8 Ave,40.75640548,-73.9900262,E 52 St & 2 Ave,40.756014,-73.967416
