,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,Central Park West & W 76 St,40.77896784,-73.97374737,W 89 St & Columbus Ave,40.7882213,-73.97041561
1,Pershing Square North,40.751872999999996,-73.97770600000001,E 39 St & 2 Ave,40.74780373,-73.97344190000001
2,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,E 77 St & 3 Ave,40.77314236,-73.95856158
3,1 Ave & E 16 St,40.73221853,-73.98165557,W 15 St & 6 Ave,40.73804614248277,-73.99642959237099
4,Great Jones St,40.72743423,-73.99379025,E 20 St & Park Ave,40.73827428,-73.98751968
5,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,Lenox Ave & W 130 St,40.8107922,-73.9430681
6,3 Ave & E 95 St,40.784596798848916,-73.94968539476396,E 88 St & 1 Ave,40.778301,-73.9488134
7,Broadway & E 14 St,40.73454567,-73.99074142,Garfield Pl & 8 Ave,40.671197799999995,-73.97484126
8,Columbia St & W 9 St,40.6769993,-74.00647134,Smith St & 9 St,40.67469570000001,-73.99785768
9,E 7 St & Avenue A,40.72621788,-73.98379855,E 2 St & Avenue A,40.72307749068673,-73.98583620786667
10,W 31 St & 7 Ave,40.749156,-73.9916,Sullivan St & Washington Sq,40.73047747,-73.99906065
11,St Marks Pl & 1 Ave,40.72779126,-73.98564945,E 2 St & Avenue B,40.72217444,-73.98368779
12,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,Mott St & Prince St,40.72317958,-73.99480012
13,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,Graham Ave & Herbert St,40.71929301,-73.94500379
14,E 25 St & 2 Ave,40.73912601,-73.97973776,W 33 St & 7 Ave,40.75019995,-73.99093085
15,Graham Ave & Herbert St,40.71929301,-73.94500379,N 12 St & Bedford Ave,40.72079821,-73.95484712
16,E 59 St & Madison Ave,40.76350532,-73.97109243,E 47 St & Park Ave,40.75510267,-73.97498696
17,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,Columbus Ave & W 72 St,40.7770575,-73.97898475
18,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,Central Park W & W 96 St,40.791270000000004,-73.964839
19,E 2 St & 2 Ave,40.72502876,-73.99069656,E 23 St & 1 Ave,40.736502,-73.97809472
20,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,Central Park W & W 96 St,40.791270000000004,-73.964839
21,W 67 St & Broadway,40.77492513,-73.98266566,1 Ave & E 62 St,40.761227399999996,-73.96094022
22,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,Pershing Square North,40.751872999999996,-73.97770600000001
23,W 21 St & 6 Ave,40.74173969,-73.99415556,9 Ave & W 22 St,40.7454973,-74.00197139
24,W 44 St & 5 Ave,40.75500254,-73.98014437,W 44 St & 5 Ave,40.75500254,-73.98014437
25,Columbus Ave & W 103 St,40.7969347,-73.9643412291,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999
26,Clinton St & Union St,40.683116399999996,-73.99785267,Henry St & Atlantic Ave,40.69089272,-73.99612349
