,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,Forsyth St & Broome St,40.71893904,-73.99266288,Market St & Cherry St,40.71076228,-73.99400398
1,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,Bergen St & Smith St,40.686744299999994,-73.99063168
2,Front St & Washington St,40.70255088,-73.98940236,President St & Henry St,40.6828003,-73.99990419
3,9 Ave & W 45 St,40.76019252,-73.9912551,Rivington St & Chrystie St,40.72110063,-73.99192540000001
4,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,1 Ave & E 94 St,40.78172120000001,-73.94594000000001
5,Broadway & W 49 St,40.76068327096592,-73.98452728986742,Lexington Ave & E 26 St,40.741459000000006,-73.983293
6,E 11 St & Avenue B,40.727464206923926,-73.97950418293476,E 11 St & 1 Ave,40.72953837,-73.98426726
7,W 45 St & 6 Ave,40.7568001,-73.98291153,7 Ave & Central Park South,40.7667405590595,-73.9790689945221
8,Bayard St & Baxter St,40.71602118,-73.99974372,Bond St & Fulton St,40.68962188790333,-73.98304268717766
9,W 56 St & 10 Ave,40.768254,-73.988639,Broadway & W 53 St,40.76344058,-73.98268129
10,S 5 Pl & S 5 St,40.710451,-73.960876,E 6 St & Avenue B,40.72453734,-73.98185424
11,E 17 St & Broadway,40.73704984,-73.99009296,E 7 St & Avenue A,40.72621788,-73.98379855
12,Hart St & Wyckoff Ave,40.704876,-73.919911,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
13,5 Ave & E 73 St,40.77282817,-73.96685276,E 74 St & 1 Ave,40.7689738,-73.95482273
14,Mott St & Prince St,40.72317958,-73.99480012,W 13 St & 7 Ave,40.73781509,-73.99994661
15,8 Ave & W 52 St,40.76370739,-73.9851615,W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389
16,South St & Whitehall St,40.70122128,-74.01234218,Broadway & E 14 St,40.73454567,-73.99074142
17,12 Ave & W 40 St,40.76087502,-74.00277668,W 59 St & 10 Ave,40.770513,-73.988038
18,W 42 St & 8 Ave,40.75756989999999,-73.99098507,2 Ave & E 72 St,40.7687620293096,-73.95840793848038
19,S 4 St & Wythe Ave,40.71285887,-73.96590294,Canal St & Rutgers St,40.71427487,-73.98990025
20,Carmine St & 6 Ave,40.73038599,-74.00214988,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
21,1 Ave & E 78 St,40.77140426,-73.9535166,E 78 St & 2 Ave,40.7727966,-73.95577801
22,Forsyth St & Broome St,40.71893904,-73.99266288,Rivington St & Ridge St,40.71850211,-73.98329859
23,Knickerbocker Ave & George St,40.704425,-73.92836,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
24,E 93 St & 2 Ave,40.78245417527987,-73.94891962409021,1 Ave & E 94 St,40.78172120000001,-73.94594000000001
25,Knickerbocker Ave & George St,40.704425,-73.92836,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
26,Carmine St & 6 Ave,40.73038599,-74.00214988,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
27,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,10 St & 7 Ave,40.666207799999995,-73.98199886
28,W 27 St & 7 Ave,40.746646999999996,-73.993915,W 21 St & 6 Ave,40.74173969,-73.99415556
29,Howard St & Centre St,40.71910537,-73.99973337,Cherry St,40.71219906,-73.97948148
30,E 17 St & Broadway,40.73704984,-73.99009296,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
31,W 46 St & 11 Ave,40.76341379,-73.99667444,W 33 St & 7 Ave,40.75019995,-73.99093085
32,1 Ave & E 68 St,40.76500525,-73.95818491,3 Ave & E 62 St,40.76312584,-73.96526895
33,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,E 110 St & Madison Ave,40.796153499999996,-73.94782145
34,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,Washington Ave & Park Ave,40.69610226,-73.96751037
35,5 Ave & E 63 St,40.766368,-73.971518,W 54 St & 9 Ave,40.76584941,-73.98690506
36,W 82 St & Central Park West,40.78275,-73.97137,E 51 St & 1 Ave,40.75455731,-73.96592976
37,E 11 St & 2 Ave,40.73047309,-73.98672378,Suffolk St & Stanton St,40.72066442,-73.98517977
38,W 4 St & 7 Ave S,40.73401143,-74.00293877,E 12 St & 4 Av,40.732690000000005,-73.98974
39,W 31 St & 7 Ave,40.749156,-73.9916,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187
40,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,South St & Whitehall St,40.70122128,-74.01234218
41,W 45 St & 6 Ave,40.7568001,-73.98291153,E 47 St & Park Ave,40.75510267,-73.97498696
42,9 Ave & W 45 St,40.76019252,-73.9912551,10 Ave & W 28 St,40.75066386,-74.00176802
43,Broadway & E 14 St,40.73454567,-73.99074142,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
44,Hope St & Union Ave,40.71167351,-73.95141312,Graham Ave & Withers St,40.7169811,-73.94485918
45,W 20 St & 7 Ave,40.74238787,-73.99726235,E 11 St & 1 Ave,40.72953837,-73.98426726
46,W 17 St & 8 Ave,40.74177603,-74.00149746,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
47,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,Union St & 4 Ave,40.6772744,-73.98282002
48,E 11 St & 1 Ave,40.72953837,-73.98426726,Pitt St & Stanton St,40.71926081,-73.98178024
49,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,E 114 St & 1 Ave,40.79456629999999,-73.9362541
50,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,West Thames St,40.70834698,-74.01713445
51,Barrow St & Hudson St,40.73172428,-74.00674436,Fulton St & Broadway,40.711065999999995,-74.009447
52,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389
53,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,Stanton St & Norfolk St,40.720746999999996,-73.986274
54,Hancock St & Bedford Ave,40.68216564,-73.95399026,Monroe St & Bedford Ave,40.6851443,-73.95380904
55,Pike St & E Broadway,40.71406667,-73.99293911,Maiden Ln & Pearl St,40.70706456,-74.00731853
56,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
57,E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,E 89 St & 3 Ave,40.7806284,-73.9521667
58,Pearl St & Hanover Square,40.7047177,-74.00926027,Pike St & Monroe St,40.71173107,-73.99193043
59,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,Stanton St & Norfolk St,40.720746999999996,-73.986274
60,Pearl St & Hanover Square,40.7047177,-74.00926027,Maiden Ln & Pearl St,40.70706456,-74.00731853
61,S 4 St & Wythe Ave,40.71285887,-73.96590294,Clinton St & Grand St,40.71559509,-73.9870295
62,Pearl St & Hanover Square,40.7047177,-74.00926027,Pike St & Monroe St,40.71173107,-73.99193043
