,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,31 Ave & 34 St,40.763154,-73.920827,35 Ave & 37 St,40.7557327,-73.92366109999999
1,Greene Ave & Throop Ave,40.6894932,-73.942061,Greene Av & Myrtle Av,40.698568,-73.918877
2,Great Jones St,40.72743423,-73.99379025,E 11 St & 1 Ave,40.72953837,-73.98426726
3,McKibbin St & Bogart St,40.706237,-73.933871,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937
4,E 52 St & 2 Ave,40.756014,-73.967416,W 67 St & Broadway,40.77492513,-73.98266566
5,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,W 47 St & 10 Ave,40.76269882,-73.99301222
6,Queens Plaza North & Crescent St,40.75110165,-73.94073717,28 St & 38 Ave,40.754876,-73.934326
7,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,Allen St & Rivington St,40.72019576,-73.98997825
8,W 31 St & 7 Ave,40.749156,-73.9916,Central Park S & 6 Ave,40.76590936,-73.97634151
9,Dean St & 4 Ave,40.68312489,-73.97895137,5 Ave & 3 St,40.672815500000006,-73.98352355
10,Front St & Washington St,40.70255088,-73.98940236,Clinton Ave & Myrtle Ave,40.693261,-73.968896
11,S 5 Pl & S 5 St,40.710451,-73.960876,W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389
12,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,Bushwick Ave & McKibbin St,40.705517,-73.93936
13,W 87 St & Amsterdam Ave,40.78839,-73.9747,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
14,45 Rd & 11 St,40.74708586,-73.94977234,47 Ave & 31 St,40.743,-73.93561
15,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,Henry St & Atlantic Ave,40.69089272,-73.99612349
16,W 13 St & 7 Ave,40.73781509,-73.99994661,W 49 St & 8 Ave,40.76227205,-73.98788205
17,31 St & Hoyt Ave N,40.771152799999996,-73.9170074,31 St & Newtown Ave,40.7675487799971,-73.92093345522879
18,N 12 St & Bedford Ave,40.72079821,-73.95484712,India St & Manhattan Ave,40.73232194,-73.9550858
19,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394
20,Great Jones St,40.72743423,-73.99379025,Pike St & E Broadway,40.71406667,-73.99293911
21,E 84 St & 3 Ave,40.777553742988864,-73.95512759685515,E 55 St & Lexington Ave,40.75968085,-73.97031366
22,8 Ave & W 33 St,40.751551,-73.993934,W 37 St & 10 Ave,40.75660359,-73.9979009
